Date;Opérateur;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00;00:00:00;01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;Secteur d'activité;Statut;Consommation Journalière (MWh PCS 0°C)
2022-10-18;NaTran;20829.0;20857.0;21371.0;21129.0;21319.0;20268.0;19488.0;19207.0;18852.0;19238.0;19062.0;19701.0;20131.0;19673.0;19505.0;18579.0;18593.0;19148.0;21358.0;21624.0;22283.0;22425.0;22626.0;22019.0;Industriel;Définitif;489287.0
2022-10-15;NaTran;20112.0;20297.0;20741.0;20586.0;20118.0;18933.0;18177.0;18227.0;18253.0;19480.0;20350.0;19713.0;20110.0;20250.0;19671.0;20260.0;20020.0;18738.0;18772.0;18788.0;17672.0;14786.0;14277.0;14451.0;Industriel;Définitif;452783.0
2022-10-04;NaTran;21670.0;22900.0;22901.0;23030.0;22867.0;22358.0;21024.0;20643.0;20907.0;20851.0;21013.0;21657.0;22497.0;22362.0;22879.0;21698.0;21229.0;21215.0;18812.0;16080.0;15818.0;15274.0;15739.0;15644.0;Industriel;Définitif;491070.0
2022-09-27;NaTran;18815.0;18840.0;18902.0;20647.0;20541.0;20872.0;20863.0;20575.0;19696.0;19780.0;19903.0;20592.0;20735.0;21095.0;20730.0;20028.0;19832.0;20134.0;19478.0;19305.0;20434.0;20348.0;20454.0;20097.0;Industriel;Définitif;482695.0
2022-09-23;NaTran;20000.0;20463.0;20523.0;20471.0;19966.0;19463.0;19785.0;19652.0;19830.0;19875.0;19463.0;19528.0;19566.0;19847.0;19818.0;19782.0;19576.0;19267.0;18970.0;19076.0;18616.0;18400.0;18641.0;18334.0;Industriel;Définitif;468912.0
2022-09-19;NaTran;17982.0;19113.0;19194.0;19199.0;19108.0;18348.0;17569.0;16837.0;16776.0;17002.0;17475.0;17573.0;17579.0;19336.0;19608.0;18846.0;19114.0;19028.0;18352.0;18762.0;18978.0;18689.0;18387.0;18093.0;Industriel;Définitif;440949.0
2022-09-16;NaTran;17579.0;18310.0;18268.0;18428.0;18438.0;18593.0;18070.0;18316.0;18334.0;18434.0;18188.0;18338.0;17978.0;18284.0;18690.0;17697.0;17531.0;17028.0;14981.0;13632.0;13441.0;13237.0;12840.0;13638.0;Industriel;Définitif;408271.0
2022-09-09;NaTran;19749.0;19767.0;20377.0;19816.0;19370.0;19271.0;18547.0;18709.0;18215.0;18203.0;18192.0;18694.0;18859.0;19235.0;19276.0;18920.0;18861.0;18493.0;17498.0;17458.0;17383.0;17237.0;16820.0;15926.0;Industriel;Définitif;444879.0
2022-09-06;NaTran;20409.0;20290.0;20581.0;20494.0;20026.0;20154.0;19544.0;19339.0;19835.0;19839.0;19764.0;20325.0;20676.0;20379.0;20048.0;19959.0;20181.0;20194.0;20190.0;20051.0;19014.0;19505.0;19303.0;20144.0;Industriel;Définitif;480242.0
2022-09-03;NaTran;17276.0;17503.0;18131.0;18283.0;18314.0;17783.0;17516.0;17301.0;17329.0;17412.0;18335.0;18083.0;18498.0;18771.0;18686.0;18676.0;18702.0;18151.0;17900.0;18359.0;17967.0;17159.0;17142.0;17338.0;Industriel;Définitif;430613.0
2022-08-28;NaTran;16138.0;16072.0;16014.0;15800.0;15455.0;14922.0;14958.0;15059.0;15930.0;16021.0;14548.0;14972.0;15579.0;16559.0;17295.0;17368.0;17042.0;16622.0;16511.0;16589.0;16902.0;16740.0;16315.0;16447.0;Industriel;Définitif;385858.0
2022-08-27;NaTran;18391.0;18165.0;17971.0;18128.0;17707.0;17704.0;17132.0;17025.0;17126.0;17477.0;17689.0;17297.0;17592.0;17524.0;17649.0;17762.0;17288.0;17188.0;16965.0;16820.0;15962.0;16028.0;16264.0;16177.0;Industriel;Définitif;415030.0
2022-08-26;NaTran;18746.0;18917.0;19101.0;19015.0;18456.0;18324.0;18152.0;18274.0;18269.0;18344.0;18334.0;18584.0;18658.0;18997.0;19211.0;19117.0;19082.0;18311.0;17883.0;17988.0;18170.0;18034.0;18111.0;18252.0;Industriel;Définitif;444330.0
2022-08-18;NaTran;16547.0;16400.0;16160.0;16050.0;16125.0;15699.0;16011.0;16248.0;16284.0;15870.0;15948.0;16106.0;16549.0;16827.0;16917.0;16816.0;17244.0;16992.0;15660.0;15345.0;15982.0;15992.0;16088.0;16425.0;Industriel;Définitif;390285.0
2022-08-17;NaTran;15678.0;15700.0;15895.0;15727.0;14497.0;15016.0;14880.0;15066.0;15468.0;15538.0;15178.0;15328.0;15045.0;15396.0;16714.0;16664.0;16398.0;16005.0;15930.0;15582.0;15360.0;15064.0;15495.0;15688.0;Industriel;Définitif;373310.0
2022-08-12;NaTran;14986.0;15291.0;15607.0;15254.0;14875.0;14090.0;13628.0;14546.0;14610.0;14463.0;14145.0;14089.0;14670.0;14804.0;14953.0;14375.0;13731.0;14185.0;14226.0;14720.0;14847.0;14752.0;14932.0;15013.0;Industriel;Définitif;350792.0
2022-08-10;NaTran;14804.0;14531.0;15344.0;15532.0;15331.0;14866.0;14233.0;13635.0;14215.0;14353.0;14164.0;13793.0;13674.0;14725.0;15186.0;15066.0;14747.0;14847.0;14938.0;15063.0;14963.0;15233.0;14973.0;14768.0;Industriel;Définitif;352985.0
2022-08-05;NaTran;16594.0;16969.0;17242.0;17027.0;16144.0;16042.0;16096.0;15549.0;15372.0;15561.0;15865.0;15938.0;15937.0;15846.0;15494.0;15466.0;15586.0;15443.0;15304.0;14290.0;13796.0;13088.0;13328.0;13123.0;Industriel;Définitif;371098.0
2022-08-03;NaTran;15838.0;16013.0;16194.0;16035.0;16007.0;15846.0;15687.0;15789.0;16120.0;16276.0;16391.0;16583.0;16659.0;16740.0;17193.0;17216.0;17137.0;16706.0;16763.0;16836.0;16511.0;15998.0;15856.0;16101.0;Industriel;Définitif;392496.0
2022-07-31;NaTran;15439.0;15193.0;15333.0;14842.0;13949.0;14211.0;14169.0;14063.0;14037.0;14094.0;14186.0;14551.0;15316.0;15683.0;15786.0;15796.0;15663.0;15601.0;15753.0;15973.0;15858.0;15704.0;15392.0;15567.0;Industriel;Définitif;362159.0
2022-07-27;NaTran;17613.0;18271.0;18761.0;18753.0;18524.0;18348.0;18515.0;18712.0;18350.0;18437.0;18558.0;17881.0;18112.0;18050.0;18645.0;18737.0;18212.0;17644.0;17267.0;17493.0;18008.0;17839.0;17676.0;17589.0;Industriel;Définitif;435994.0
